work_year	salary_in_usd	company_location
2023	115000	United States
2023	86500	United States
2023	40400	United States
2023	260000	United States
2023	136000	United States
2023	329700	United States
2023	192351	United States
2023	280000	United States
2023	160000	United States
2023	106700	United States
2023	97000	United States
2023	175000	United States
2023	150000	United States
2023	145000	United States
2023	120000	United States
2023	88000	United States
2023	60000	United States
2023	123000	United States
2023	93593	United States
2023	276000	United States
2023	174000	United States
2023	185900	United States
2023	129300	United States
2023	222405	United States
2023	172800	United States
2023	120350	United States
2023	74400	United States
2023	205600	United States
2023	105700	United States
2023	263500	United States
2023	189360	United States
2023	192000	Canada
2023	124000	Canada
2023	230000	United States
2023	124000	United States
2023	148500	Canada
2023	82500	Canada
2023	184800	United States
2023	161900	United States
2023	310000	United States
2023	206000	United States
2023	372000	United States
2023	223000	United States
2023	172256	United Kingdom
2023	123040	United Kingdom
2023	95000	United States
2023	80000	United States
2023	131000	United States
2023	110000	United States
2023	148500	Canada
2023	82500	Canada
2023	133000	United States
2023	58400	United States
2023	233500	United States
2023	146000	United States
2023	300000	United States
2023	130000	United States
2023	280889	United States
2023	187259	United States
2023	305100	United States
2023	146900	United States
2023	78800	United States
2023	44100	United States
2023	166000	United States
2023	73100	United States
2023	150000	United States
2023	80000	United States
2023	150000	United States
2023	80000	United States
2023	170000	United States
2023	120000	United States
2023	110000	United States
2023	90000	United States
2023	202800	United States
2023	104300	United States
2023	272400	United States
2023	140100	United States
2023	154000	United States
2023	103000	United States
2023	223600	United States
2023	115000	United States
2023	80750	Canada
2023	48450	Canada
2023	85600	United States
2023	57000	United States
2023	190400	United States
2023	112000	United States
2023	119636	United States
2023	70374	United States
2023	304750	United States
2023	160000	United States
2023	98873	United States
2023	58161	United States
2023	138000	United States
2023	85500	United States
2023	307100	United States
2023	216800	United States
2023	153600	United States
2023	106800	United States
2023	250000	United States
2023	125000	United States
2023	280000	United States
2023	180000	United States
2023	160000	United States
2023	130000	United States
2023	180000	United States
2023	162000	United States
2023	185000	United States
2023	79600	United States
2023	164640	United States
2023	131712	United States
2023	74800	United States
2023	63600	United States
2023	138510	United States
2023	95490	United States
2023	92280	United Kingdom
2023	67672	United Kingdom
2023	280000	United States
2023	160000	United States
2023	170000	United States
2023	140000	United States
2023	137500	United States
2023	81500	United States
2023	253792	United States
2023	158620	United States
2023	259900	United States
2023	139200	United States
2023	118118	United Kingdom
2023	79976	United Kingdom
2023	293000	United States
2023	185000	United States
2023	180000	United States
2023	90000	United States
2023	165000	United States
2023	115500	United States
2023	110000	United States
2023	70000	United States
2023	142000	United States
2023	102000	United States
2023	141600	United States
2023	121400	United States
2023	240000	United States
2023	170000	United States
2023	222200	United States
2023	136000	United States
2023	55000	United States
2023	49000	United States
2023	135000	United States
2023	110000	United States
2023	200000	United States
2023	180000	United States
2023	246080	United Kingdom
2023	184560	United Kingdom
2023	168000	United States
2023	130000	United States
2023	105000	United States
2023	70000	United States
2023	105000	United States
2023	100000	United States
2023	243000	Canada
2023	152000	Canada
2023	167500	United States
2023	106500	United States
2023	79976	Gibraltar
2023	115600	United States
2023	79700	United States
2023	281700	United States
2023	141100	United States
2023	173100	United States
2023	86900	United States
2023	258700	United States
2023	133800	United States
2023	120000	United States
2023	85000	United States
2023	225300	United States
2023	197400	United States
2023	157000	United States
2023	125000	United States
2023	208000	United States
2023	134000	United States
2023	140000	United States
2023	65000	United States
2023	258700	United States
2023	160000	United States
2023	258700	United States
2023	188200	United States
2023	49216	United Kingdom
2023	49216	United Kingdom
2023	110000	United States
2023	73400	United States
2023	183414	United States
2023	183414	United States
2023	130000	United States
2023	97200	United States
2023	299000	United States
2023	187000	United States
2023	204500	United States
2023	66000	United States
2023	190000	United States
2023	140000	United States
2023	170200	United States
2023	83900	United States
2023	130000	United States
2023	101570	United States
2023	177000	United States
2023	118000	United States
2023	234500	United States
2023	127000	United States
2023	114979	Australia
2023	287500	United States
2023	168000	United States
2023	155000	United States
2023	140000	United States
2023	230000	United States
2023	180000	United States
2023	153000	United States
2023	136000	United States
2023	93918	United States
2023	51962	United States
2023	254000	United States
2023	200000	United States
2023	214500	United States
2023	134500	United States
2023	136000	United States
2023	104000	United States
2023	110000	United States
2023	90000	United States
2023	145000	United States
2023	115000	United States
